price,timestamp
131.43630,2022-12-10 05:00:00+00
131.43630,2022-12-11 05:00:00+00
125.24325,2022-12-13 05:00:00+00
130.32385,2022-12-14 05:00:00+00
121.32355,2022-12-15 05:00:00+00
124.18115,2022-12-16 05:00:00+00
105.46710,2022-12-19 05:00:00+00
105.79105,2022-12-17 05:00:00+00
105.79105,2022-12-18 05:00:00+00
90.28325,2022-12-20 05:00:00+00
86.64760,2022-12-21 05:00:00+00
77.75465,2022-12-22 05:00:00+00
70.30380,2022-12-23 05:00:00+00
67.14410,2022-12-28 05:00:00+00
67.4595,2022-12-24 05:00:00+00
67.4595,2022-12-25 05:00:00+00
67.4595,2022-12-26 05:00:00+00
67.4595,2022-12-27 05:00:00+00
64.01385,2022-12-29 05:00:00+00
62.13570,2022-12-30 05:00:00+00
105.45,2023-01-02 05:00:00+00
105.45,2023-01-03 05:00:00+00
54.05215,2023-01-03 05:00:00+00
48.32175,2022-12-31 05:00:00+00
48.32175,2023-01-01 05:00:00+00
48.32175,2023-01-02 05:00:00+00
54.05215,2023-01-03 05:00:00+00
57.81510,2023-01-04 05:00:00+00
53.14110,2023-01-05 05:00:00+00
57.54245,2023-01-06 05:00:00+00
57.54245,2023-01-06 05:00:00+00
48.32175,2023-01-07 05:00:00+00
48.32175,2023-01-08 05:00:00+00
63.52460,2023-01-10 05:00:00+00
60.0020,2023-01-11 05:00:00+00
57.41135,2023-01-12 05:00:00+00
59.4795,2023-01-13 05:00:00+00
57.03135,2023-01-16 05:00:00+00
56.43855,2023-01-14 05:00:00+00
56.43855,2023-01-15 05:00:00+00
50.0935,2023-01-17 05:00:00+00
53.94005,2023-01-18 05:00:00+00
55.09905,2023-01-19 05:00:00+00
62.04640,2023-01-23 05:00:00+00
60.99570,2023-01-21 05:00:00+00
60.99570,2023-01-22 05:00:00+00
54.67440,2023-01-20 05:00:00+00
48.40155,2023-02-13 05:00:00+00
48.29325,2023-02-11 05:00:00+00
48.29325,2023-02-12 05:00:00+00
58.93325,2023-01-24 05:00:00+00
52.99955,2023-01-25 05:00:00+00
50.64545,2023-01-26 05:00:00+00
49.71540,2023-01-27 05:00:00+00
49.73155,2023-01-30 05:00:00+00
49.94625,2023-01-28 05:00:00+00
49.94625,2023-01-29 05:00:00+00
48.82525,2023-01-31 05:00:00+00
52.28230,2023-02-01 05:00:00+00
54.30485,2023-02-02 05:00:00+00
51.53465,2023-02-03 05:00:00+00
52.88555,2023-02-06 05:00:00+00
52.74210,2023-02-04 05:00:00+00
52.74210,2023-02-05 05:00:00+00
52.73640,2023-02-07 05:00:00+00
49.77810,2023-02-08 05:00:00+00
48.80815,2023-02-09 05:00:00+00
48.24005,2023-02-10 05:00:00+00
47.23970,2023-02-14 05:00:00+00
48.830,2023-02-15 05:00:00+00
49.55105,2023-02-16 05:00:00+00
46.46355,2023-02-17 05:00:00+00
44.0990,2023-02-20 05:00:00+00
43.86530,2023-02-18 05:00:00+00
43.86530,2023-02-19 05:00:00+00
44.58065,2023-02-21 05:00:00+00
44.44385,2023-02-22 05:00:00+00
45.52305,2023-02-23 05:00:00+00
46.49585,2023-02-24 05:00:00+00
46.43695,2023-02-27 05:00:00+00
